,Name,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,Location_Ahmedabad,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
34,Volkswagen Vento 1.6 Highline,2014,55431,16.09,1598,103.5,5.0,12.33,6.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
35,Maruti Wagon R LXI BSIII,2009,83816,14.0,1061,64.0,5.0,24.13492723492724,1.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
36,Maruti Vitara Brezza ZDi Plus,2018,50075,24.3,1248,88.5,5.0,11.12,8.63,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,18.15,1198,82.0,5.0,24.13492723492724,4.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
38,Mercedes-Benz M-Class ML 350 CDI,2013,85000,11.74,2987,254.8,5.0,24.13492723492724,28.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
39,Volkswagen Polo Diesel Trendline 1.2L,2013,62000,22.07,1199,73.9,5.0,24.13492723492724,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
40,Maruti Alto LXi,2008,90000,19.7,796,46.3,5.0,24.13492723492724,1.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
41,Tata Nano LX SE,2014,19698,25.4,624,37.5,4.0,24.13492723492724,1.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,25.32,1198,77.0,6.0,24.13492723492724,5.58,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
43,Hyundai i20 Magna Optional 1.2,2014,35487,18.5,1197,82.9,5.0,24.13492723492724,4.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
44,Hyundai Elantra 2.0 SX Option AT,2014,46374,14.62,1999,149.92,5.0,23.64,8.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
45,Toyota Corolla Altis G AT,2016,52001,14.28,1798,138.03,5.0,24.13492723492724,10.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
46,Hyundai Elantra CRDi,2008,58005,14.9,1991,112.2,5.0,24.13492723492724,4.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
47,Toyota Innova Crysta 2.7 GX MT,2012,70704,11.25,2694,163.7,7.0,18.64,10.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
48,Hyundai Xcent 1.1 CRDi S,2014,75000,24.4,1120,71.0,5.0,24.13492723492724,3.85,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
49,Mahindra Thar CRDe AC,2012,75800,16.55,2498,105.0,6.0,24.13492723492724,5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,17.11,1968,174.33,5.0,24.13492723492724,21.43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
51,Maruti Swift LDI,2014,52000,22.9,1248,74.0,5.0,24.13492723492724,4.25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
52,Maruti Swift Ldi BSIV,2014,53000,17.8,1248,75.0,5.0,24.13492723492724,3.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
53,Maruti Swift VDI,2013,65650,28.4,1248,74.0,5.0,24.13492723492724,3.85,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
54,Hyundai Grand i10 Sportz,2015,54000,18.9,1197,82.0,5.0,24.13492723492724,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
55,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,15.04,1598,103.2,5.0,24.13492723492724,3.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
56,Renault KWID RXT,2017,16542,25.17,799,53.3,5.0,24.13492723492724,3.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
57,Hyundai i10 Asta,2010,32000,20.36,1197,78.9,5.0,24.13492723492724,2.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
58,Nissan X-Trail SLX AT,2010,121812,13.29,1995,147.6,5.0,24.13492723492724,7.75,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
59,Maruti Zen Estilo VXI BSIII,2010,39300,18.2,998,67.1,5.0,24.13492723492724,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
60,Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,13.68,2393,147.8,8.0,19.34,16.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
61,Ford Figo Diesel Titanium,2010,72000,20.0,1399,68.0,5.0,24.13492723492724,2.75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,11.74,1796,186.0,5.0,24.13492723492724,26.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
63,Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,15.8,2148,170.0,5.0,24.13492723492724,10.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
64,Tata Indica V2 eLS,2016,178000,25.0,1396,69.0,5.0,24.13492723492724,2.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
65,Audi A4 2.0 TDI Multitronic,2012,65664,16.55,1968,140.0,5.0,24.13492723492724,13.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
66,Honda City ZX CVT,2007,63000,16.4,1497,78.0,5.0,24.13492723492724,1.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
67,Mercedes-Benz C-Class Progressive C 220d,2019,15369,0.0,1950,194.0,5.0,49.14,35.67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
68,Maruti Ertiga SHVS VDI,2016,63000,24.52,1248,88.5,7.0,24.13492723492724,8.15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
69,Hyundai Creta 1.4 E Plus Diesel,2018,13000,22.1,1396,88.7,5.0,11.81,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
70,Porsche Cayenne 2009-2014 Turbo,2008,73000,8.5,4806,500.0,5.0,24.13492723492724,14.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
71,Mahindra XUV500 W8 4WD,2015,55729,15.1,2179,140.0,7.0,24.13492723492724,9.65,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
72,Hyundai i10 Sportz 1.2 AT,2012,45178,16.95,1197,78.9,5.0,24.13492723492724,3.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
73,Nissan Terrano XV D Pre,2015,56066,19.64,1461,108.5,5.0,16.65,6.92,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
74,Honda Brio VX AT,2016,37300,16.5,1198,86.8,5.0,24.13492723492724,6.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
75,Audi A6 2.0 TDI Design Edition,2014,56000,18.53,1968,187.74,5.0,24.13492723492724,29.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
76,Ford Fiesta 1.4 SXi TDCi,2008,111111,17.8,1399,0.0,5.0,24.13492723492724,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
77,Toyota Innova 2.0 G1,2006,230000,12.4,1998,132.0,8.0,24.13492723492724,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
78,Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,12.8,2494,102.0,7.0,24.13492723492724,11.75,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
79,Hyundai Santro Xing XL,2005,87591,0.0,1086,0.0,5.0,24.13492723492724,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
80,Maruti Swift VDI,2012,95100,22.9,1248,74.0,5.0,24.13492723492724,3.75,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
81,Tata Zest Revotron 1.2T XE,2017,70000,17.57,1193,88.7,5.0,6.67,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
82,Honda Amaze SX i-VTEC,2016,54944,18.0,1198,86.7,5.0,24.13492723492724,4.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
83,Ford Figo Diesel ZXI,2012,70337,20.0,1399,68.0,5.0,24.13492723492724,2.8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
84,Maruti Ritz VDi,2013,99638,23.2,1248,73.94,5.0,24.13492723492724,3.11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
85,Honda City i VTEC E,2009,52000,17.8,1497,117.3,5.0,24.13492723492724,3.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
86,BMW 5 Series 2003-2012 525d,2011,75000,16.73,1995,218.0,5.0,24.13492723492724,13.9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
87,Hyundai i10 Sportz 1.2,2009,95980,20.36,1197,78.9,5.0,24.13492723492724,2.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
88,Hyundai Grand i10 Sportz,2016,16000,18.9,1197,82.0,5.0,24.13492723492724,5.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
89,Hyundai Santro Xing XO,2007,73745,17.0,1086,0.0,5.0,24.13492723492724,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
90,Honda Amaze SX i-VTEC,2016,18949,17.8,1198,86.7,5.0,24.13492723492724,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
91,Toyota Fortuner 4x2 Manual,2014,107000,13.0,2982,168.5,7.0,24.13492723492724,16.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
92,Audi A6 2011-2015 35 TDI Premium,2018,48367,17.68,1968,174.33,5.0,24.13492723492724,39.58,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,22.7,1498,89.84,5.0,24.13492723492724,5.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
94,Mahindra XUV500 W8 2WD,2014,58000,15.1,2179,140.0,7.0,24.13492723492724,8.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
95,Honda Amaze SX i-DTEC,2015,30000,25.8,1498,98.6,5.0,24.13492723492724,3.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
96,Volkswagen Polo Diesel Highline 1.2L,2013,34212,22.07,1199,73.9,5.0,24.13492723492724,2.79,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
97,Hyundai Verna Transform SX VGT CRDi,2010,70002,16.2,1493,110.0,5.0,24.13492723492724,3.45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
98,Maruti Wagon R VXI BS IV,2016,62000,18.9,998,67.1,5.0,24.13492723492724,4.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
99,Volkswagen Polo Petrol Highline 1.6L,2010,62001,15.26,1598,103.5,5.0,24.13492723492724,2.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
100,Hyundai i20 1.4 CRDi Sportz,2011,78958,23.0,1396,90.0,5.0,24.13492723492724,3.8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
101,Hyundai i20 Asta 1.2,2014,30180,18.5,1197,82.85,5.0,24.13492723492724,4.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
102,Datsun GO Plus T Petrol,2017,32851,19.83,1198,67.0,7.0,6.45,3.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
103,Audi A4 3.0 TDI Quattro Premium,2010,30000,14.94,2967,241.4,5.0,24.13492723492724,9.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
104,Hyundai i20 2015-2017 Asta,2009,66000,17.0,1197,80.0,5.0,24.13492723492724,2.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
105,Maruti Omni 5 Str STD,2010,93850,14.0,796,35.0,5.0,24.13492723492724,2.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
106,Toyota Etios Liva 1.2 G,2014,53000,17.71,1197,78.9,5.0,6.41,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
107,Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,14.74,2993,270.9,5.0,24.13492723492724,24.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
108,Mahindra XUV500 W8 2WD,2012,65000,16.0,2179,140.0,7.0,24.13492723492724,5.75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
109,Hyundai Verna 1.6 SX CRDI (O) AT,2014,40000,22.32,1582,126.32,5.0,24.13492723492724,5.25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
110,Toyota Innova Crysta 2.8 ZX AT,2017,30000,11.36,2755,171.5,7.0,27.0,19.25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
111,Maruti Eeco 5 Seater AC,2017,38053,15.1,1196,73.0,5.0,5.13,3.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
112,Tata Nano Twist XT,2014,25500,25.4,624,37.5,4.0,24.13492723492724,2.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
113,BMW 3 Series 320d Luxury Line,2015,56087,22.69,1995,190.0,5.0,54.43,20.75,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
114,Honda Civic 2006-2010 1.8 V MT,2010,71088,13.5,1799,130.0,5.0,24.13492723492724,3.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,12.99,2494,100.6,7.0,24.13492723492724,11.11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
116,Volvo V40 Cross Country D3,2014,32700,23.3,1984,150.0,5.0,24.13492723492724,20.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
117,Nissan Micra XV CVT,2016,39882,19.15,1198,75.94,5.0,9.51,6.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
118,BMW 5 Series 2010-2013 525i,2009,128000,10.8,2497,215.0,5.0,24.13492723492724,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
119,Maruti Vitara Brezza VDi,2016,55000,24.3,1248,88.5,5.0,9.96,7.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
120,Hyundai Santro Xing XL eRLX Euro III,2005,102000,17.0,1086,0.0,5.0,24.13492723492724,0.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
121,Mercedes-Benz B Class B200 CDI,2014,53753,15.0,2143,107.3,5.0,24.13492723492724,16.75,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
122,Hyundai Verna CRDi 1.6 SX Option,2018,10250,22.0,1582,126.2,5.0,14.44,10.95,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
123,Maruti Wagon R LXI BS IV,2011,43874,18.9,998,67.1,5.0,24.13492723492724,2.45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
124,Tata Nano XTA,2017,32684,21.9,624,37.48,4.0,24.13492723492724,3.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
125,Mahindra Scorpio VLX,2014,42000,12.05,2179,120.0,8.0,24.13492723492724,7.75,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
126,Mercedes-Benz New C-Class 200 K AT,2009,28352,11.7,1796,178.0,5.0,24.13492723492724,9.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
127,Maruti Wagon R LXI CNG,2013,89900,26.6,998,58.16,5.0,24.13492723492724,3.25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
128,Honda CR-V 2.4 MT,2007,47700,10.8,2354,152.0,5.0,24.13492723492724,5.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
129,Volkswagen Vento 1.5 TDI Comfortline AT,2015,55000,21.21,1498,103.2,5.0,24.13492723492724,7.25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
130,Maruti Ciaz VXi Plus,2017,44285,20.73,1373,91.1,5.0,24.13492723492724,7.47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
131,Mahindra XUV500 AT W10 FWD,2016,54000,16.0,2179,140.0,7.0,24.13492723492724,13.25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
132,Maruti Ritz VXI ABS,2016,30232,21.1,1197,85.8,5.0,24.13492723492724,5.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
133,Maruti Alto K10 VXI,2014,88500,24.07,998,67.1,5.0,4.53,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
134,Mercedes-Benz SLC 43 AMG,2017,13372,19.0,2996,362.07,2.0,95.04,54.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
135,Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,17.0,1591,121.3,5.0,13.49,11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
136,Maruti Alto LXi BSIII,2010,94385,19.7,796,46.3,5.0,24.13492723492724,1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
137,BMW 1 Series 118d Base,2015,31821,20.58,1995,143.0,5.0,24.13492723492724,17.22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
138,Honda Jazz 1.2 V CVT i VTEC,2015,12000,19.0,1199,88.7,5.0,24.13492723492724,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
139,Honda Civic 2006-2010 1.8 V MT,2012,88578,13.5,1799,130.0,5.0,24.13492723492724,3.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,19.27,2143,170.0,5.0,24.13492723492724,17.95,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
141,Honda Amaze SX i-DTEC,2014,45044,25.8,1498,98.6,5.0,24.13492723492724,3.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
142,Maruti Swift VVT VXI,2016,34204,22.0,1197,81.8,5.0,24.13492723492724,5.43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
